id,product,layer,code,status,contextKey,contextTitle,appliesTo,scenario,meaning,causes,resolution,prevention,severity,owner,source,lastVerified,tags,seoTitle,seoSlug,metaDescription,canonicalPath,confidence
PP-0001,Power Automate,Cloud flow design-time,InvalidTemplate,,sharepoint-list-item,SharePoint List Item Flow,Power Automate cloud flow using SharePoint list items,"The flow reads or updates SharePoint list data during an approval, notification, or sync process.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the sharepoint list item flow scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, confirm the site, list, item ID, and connection user permissions before changing expressions.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For sharepoint list item flow, also verify: Confirm the site, list, item ID, and connection user permissions before changing expressions.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For sharepoint list item flow, document the expected permissions, connector settings, and test data used to validate the fix.",High,Flow maker,SRC-001,2026-06-09,invalid template expression save validation sharepoint-list-item SharePoint List Item Flow,InvalidTemplate in SharePoint List Item Flow | Power Platform Error Fix,invalidtemplate-sharepoint-list-item,"InvalidTemplate in SharePoint List Item Flow: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-sharepoint-list-item.html,Medium
PP-0002,Power Automate,Cloud flow design-time,InvalidTemplate,,outlook-email-automation,Outlook Email Automation,Power Automate cloud flow using Outlook mail actions,"The flow sends, moves, or reads email and then passes mailbox data to later actions.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the outlook email automation scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check mailbox permissions, shared mailbox access, and whether the connection account still has the expected mailbox role.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For outlook email automation, also verify: Check mailbox permissions, shared mailbox access, and whether the connection account still has the expected mailbox role.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For outlook email automation, document the expected permissions, connector settings, and test data used to validate the fix.",High,Flow maker,SRC-001,2026-06-09,invalid template expression save validation outlook-email-automation Outlook Email Automation,InvalidTemplate in Outlook Email Automation | Power Platform Error Fix,invalidtemplate-outlook-email-automation,"InvalidTemplate in Outlook Email Automation: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-outlook-email-automation.html,Medium
PP-0003,Power Automate,Cloud flow design-time,InvalidTemplate,,teams-notification-flow,Teams Notification Flow,Power Automate cloud flow posting to Microsoft Teams,The automation posts adaptive cards or channel messages after a business event.,"The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the teams notification flow scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, confirm the team, channel, connector permissions, message payload, and DLP policy for the environment.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For teams notification flow, also verify: Confirm the team, channel, connector permissions, message payload, and DLP policy for the environment.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For teams notification flow, document the expected permissions, connector settings, and test data used to validate the fix.",High,Flow maker,SRC-001,2026-06-09,invalid template expression save validation teams-notification-flow Teams Notification Flow,InvalidTemplate in Teams Notification Flow | Power Platform Error Fix,invalidtemplate-teams-notification-flow,"InvalidTemplate in Teams Notification Flow: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-teams-notification-flow.html,Medium
PP-0004,Power Automate,Cloud flow design-time,InvalidTemplate,,dataverse-row-operation,Dataverse Row Operation,"Power Automate or app logic creating, reading, updating, or deleting Dataverse rows","The process calls Dataverse tables directly from a flow, app, plugin, custom connector, or Web API client.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the dataverse row operation scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check table permissions, row ownership, logical names, column types, and service protection limits.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For dataverse row operation, also verify: Check table permissions, row ownership, logical names, column types, and service protection limits.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For dataverse row operation, document the expected permissions, connector settings, and test data used to validate the fix.",High,Dataverse admin,SRC-001,2026-06-09,invalid template expression save validation dataverse-row-operation Dataverse Row Operation,InvalidTemplate in Dataverse Row Operation | Power Platform Error Fix,invalidtemplate-dataverse-row-operation,"InvalidTemplate in Dataverse Row Operation: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-dataverse-row-operation.html,Medium
PP-0005,Power Automate,Cloud flow design-time,InvalidTemplate,,canvas-app-form,Canvas App Form,Power Apps canvas app form or formula,"The user saves a form, loads a record, calls a flow, or uses connector data inside a canvas app.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the canvas app form scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check app sharing, data source permissions, formula null handling, and connector policy restrictions.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For canvas app form, also verify: Check app sharing, data source permissions, formula null handling, and connector policy restrictions.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For canvas app form, document the expected permissions, connector settings, and test data used to validate the fix.",High,App owner,SRC-001,2026-06-09,invalid template expression save validation canvas-app-form Canvas App Form,InvalidTemplate in Canvas App Form | Power Platform Error Fix,invalidtemplate-canvas-app-form,"InvalidTemplate in Canvas App Form: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-canvas-app-form.html,Medium
PP-0006,Power Automate,Cloud flow design-time,InvalidTemplate,,model-driven-app-command,Model-driven App Command,"Power Apps model-driven app command, form, or view","A user opens a table form, triggers a command, or runs business logic from a model-driven app.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the model-driven app command scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check security roles, command visibility rules, table privileges, and field security profiles.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For model-driven app command, also verify: Check security roles, command visibility rules, table privileges, and field security profiles.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For model-driven app command, document the expected permissions, connector settings, and test data used to validate the fix.",High,Model-driven app maker,SRC-001,2026-06-09,invalid template expression save validation model-driven-app-command Model-driven App Command,InvalidTemplate in Model-driven App Command | Power Platform Error Fix,invalidtemplate-model-driven-app-command,"InvalidTemplate in Model-driven App Command: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-model-driven-app-command.html,Medium
PP-0007,Power Automate,Cloud flow design-time,InvalidTemplate,,solution-import,Solution Import,Power Platform solution import or deployment pipeline,A managed or unmanaged solution is imported into another environment as part of release work.,"The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the solution import scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, review missing dependencies, connection references, environment variables, publisher prefixes, and target environment settings.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For solution import, also verify: Review missing dependencies, connection references, environment variables, publisher prefixes, and target environment settings.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For solution import, document the expected permissions, connector settings, and test data used to validate the fix.",High,Release owner,SRC-001,2026-06-09,invalid template expression save validation solution-import Solution Import,InvalidTemplate in Solution Import | Power Platform Error Fix,invalidtemplate-solution-import,"InvalidTemplate in Solution Import: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-solution-import.html,Medium
PP-0008,Power Automate,Cloud flow design-time,InvalidTemplate,,desktop-flow-runner,Desktop Flow Runner,Power Automate Desktop attended or unattended run,A desktop flow starts on a machine or machine group and attempts to create or reuse a Windows session.,"The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the desktop flow runner scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check machine availability, credentials, RDP policy, user session state, gateway registration, and installed credential providers.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For desktop flow runner, also verify: Check machine availability, credentials, RDP policy, user session state, gateway registration, and installed credential providers.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For desktop flow runner, document the expected permissions, connector settings, and test data used to validate the fix.",High,Desktop flow admin,SRC-001,2026-06-09,invalid template expression save validation desktop-flow-runner Desktop Flow Runner,InvalidTemplate in Desktop Flow Runner | Power Platform Error Fix,invalidtemplate-desktop-flow-runner,"InvalidTemplate in Desktop Flow Runner: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-desktop-flow-runner.html,Medium
PP-0009,Power Automate,Cloud flow design-time,InvalidTemplate,,custom-connector-http,Custom Connector HTTP Call,Power Platform custom connector or HTTP action,A cloud flow or app calls an external REST API through an HTTP action or custom connector.,"The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the custom connector http call scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, review the request body, headers, authentication scheme, response schema, throttling behavior, and retry policy.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For custom connector http call, also verify: Review the request body, headers, authentication scheme, response schema, throttling behavior, and retry policy.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For custom connector http call, document the expected permissions, connector settings, and test data used to validate the fix.",High,Integration owner,SRC-001,2026-06-09,invalid template expression save validation custom-connector-http Custom Connector HTTP Call,InvalidTemplate in Custom Connector HTTP Call | Power Platform Error Fix,invalidtemplate-custom-connector-http,"InvalidTemplate in Custom Connector HTTP Call: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-custom-connector-http.html,Medium
PP-0010,Power Automate,Cloud flow design-time,InvalidTemplate,,gateway-data-source,On-premises Gateway Data Source,"Power Automate, Power Apps, or connector using an on-premises data gateway","The automation or app reaches SQL Server, file shares, or internal systems through a gateway connection.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the on-premises gateway data source scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check gateway online status, data source mapping, credentials, network reachability, and connector permissions.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For on-premises gateway data source, also verify: Check gateway online status, data source mapping, credentials, network reachability, and connector permissions.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For on-premises gateway data source, document the expected permissions, connector settings, and test data used to validate the fix.",High,Gateway admin,SRC-001,2026-06-09,invalid template expression save validation gateway-data-source On-premises Gateway Data Source,InvalidTemplate in On-premises Gateway Data Source | Power Platform Error Fix,invalidtemplate-gateway-data-source,"InvalidTemplate in On-premises Gateway Data Source: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-gateway-data-source.html,Medium
